NOISE¢ñ,V,X,Y,Z
dlatent Zv*0.0,396400,27.57225749,25.51389173,24.89603386
dlatent Zv*0.1,380010,27.92846445,25.83082519,25.03630269
dlatent Zv*0.2,364474,28.20431387,26.0461138,25.09014504
dlatent Zv*0.3,349920,28.3634322,26.14953922,24.99883838
dlatent Zv*0.4,337035,28.36457161,26.16388041,24.88611156
dlatent Zv*0.5,325280,28.25235672,26.09727204,24.70192709
dlatent Zv*0.6,313933,27.91347567,26.03371078,24.34117037
dlatent Zv*0.7,301965,27.51543072,25.95920923,23.91439306
dlatent Zv*0.8,287976,26.91603986,25.82841294,23.50573524
dlatent Zv*0.9,260446,26.2354296,25.76647306,23.02853996
dlatent Zv*1.0,241134,25.64028854,25.78014643,22.55178725
,,,,
NOISE¢ò,V,X,Y,Z
dlatent Zv*0.0,387157,27.18614749,25.52342601,25.02507178
dlatent Zv*0.1,372067,27.50469535,25.74113708,25.20695931
dlatent Zv*0.2,355553,27.8060906,25.95180815,25.3085649
dlatent Zv*0.3,338852,27.96205357,26.10634566,25.24027423
dlatent Zv*0.4,323123,28.05262718,26.20540495,24.93390228
dlatent Zv*0.5,308272,27.97631787,26.23454083,24.54091746
dlatent Zv*0.6,293016,27.79018394,26.3119512,23.88205934
dlatent Zv*0.7,277014,27.4474354,26.37460846,23.1974354
dlatent Zv*0.8,261325,27.0850823,26.46728395,22.91522634
dlatent Zv*0.9,245087,26.63638361,26.66703285,22.72778205
dlatent Zv*1.0,228766,26.13211118,26.81939681,22.44979302
,,,,
NOISE¢ó,V,X,Y,Z
dlatent Zv*0.0,377455,27.72727273,24.77358626,24.16743021
dlatent Zv*0.1,364435,28.13809488,24.87816467,24.31197565
dlatent Zv*0.2,350280,28.34443586,24.94976816,24.32125193
dlatent Zv*0.3,334706,28.4833495,24.93040737,24.25096993
dlatent Zv*0.4,318492,28.5286381,24.83495969,24.07501061
dlatent Zv*0.5,303120,28.34748554,24.70422786,23.6729862
dlatent Zv*0.6,288336,28.09943978,24.64397759,23.14575163
dlatent Zv*0.7,272791,27.75520111,24.51367149,22.84729542
dlatent Zv*0.8,255467,27.23374285,24.3373226,22.65632281
dlatent Zv*0.9,237791,26.56492105,24.0769056,22.44714302
dlatent Zv*1.0,219625,25.7554628,23.83599313,22.35011048
,,,,
NOISE¢ô,V,X,Y,Z
dlatent Zv*0.0,389913,27.03638879,26.32431685,25.47706676
dlatent Zv*0.1,372154,27.42993769,26.57238081,25.69402985
dlatent Zv*0.2,355791,27.78490709,26.8596132,25.86552901
dlatent Zv*0.3,340574,28.03664631,26.94582375,25.80241136
dlatent Zv*0.4,327258,28.01215278,26.96990741,25.59300595
dlatent Zv*0.5,313690,27.82704375,26.98452678,25.21103757
dlatent Zv*0.6,302308,27.46733893,26.9734071,24.83963948
dlatent Zv*0.7,290654,27.07298252,26.90107847,24.41772034
dlatent Zv*0.8,276571,26.67047675,26.83880422,23.85209066
dlatent Zv*0.9,259720,26.02855066,26.79962625,23.24231728
dlatent Zv*1.0,238599,25.26455869,26.80994086,22.7800273
,,,,
NOISE¢õ,V,X,Y,Z
dlatent Zv*0.0,396686,26.60810351,25.30949949,25.81273408
dlatent Zv*0.25,356745,27.57269423,25.61896108,26.148796
dlatent Zv*0.5,315509,27.81954823,25.71828567,25.65842137
dlatent Zv*0.75,272533,27.32628968,25.5389881,24.13492063
dlatent Zv*1.0,219372,26.06504165,25.03527683,22.58623224
