NOISE¢ñ,V,X,Y,Z
dlatent Vx*0.0,396400,27.57225749,25.51389173,24.89603386
dlatent Vx*0.1,382727,27.23976236,25.48857769,24.61595587
dlatent Vx*0.2,369886,26.49735915,25.38409624,24.33839495
dlatent Vx*0.3,356379,25.44962474,24.95633386,24.11037829
dlatent Vx*0.4,340197,23.83689861,24.58409543,24.09646123
dlatent Vx*0.5,318387,21.68090708,24.14718872,24.32350943
dlatent Vx*0.6,297004,19.70177353,23.79499773,24.52432924
dlatent Vx*0.7,278118,17.99631104,23.62867683,24.78332201
dlatent Vx*0.8,262931,16.67294045,23.59642086,25.04875039
dlatent Vx*0.9,248155,15.64195652,23.79369565,25.24706522
dlatent Vx*1.0,235117,15.10761305,24.3371494,25.66136234
,,,,
NOISE¢ò,V,X,Y,Z
dlatent Vx*0.0,387157,27.18614749,25.52342601,25.02507178
dlatent Vx*0.1,374704,26.82319681,25.38622689,24.89858644
dlatent Vx*0.2,361164,26.07233818,25.10752769,24.70605079
dlatent Vx*0.3,348832,25.08231187,24.84561676,24.39185415
dlatent Vx*0.4,334210,23.57728375,24.61511722,24.08860146
dlatent Vx*0.5,315519,21.53211716,24.33556012,23.97353546
dlatent Vx*0.6,296682,19.47452085,24.11000091,24.09410482
dlatent Vx*0.7,277660,17.58638132,23.79581712,24.31410506
dlatent Vx*0.8,262422,16.09176857,23.76682766,24.63169253
dlatent Vx*0.9,248794,14.98502767,24.07974395,25.08202235
dlatent Vx*1.0,236327,14.32115955,24.65761242,25.41668569
,,,,
NOISE¢ó,V,X,Y,Z
dlatent Vx*0.0,377455,27.72727273,24.77358626,24.16743021
dlatent Vx*0.1,365733,27.39641508,24.63158285,24.00770313
dlatent Vx*0.2,351267,26.61046467,24.30870001,23.73291208
dlatent Vx*0.3,336591,25.43858521,24.01093248,23.44815113
dlatent Vx*0.4,321569,23.84077343,23.73980664,23.39066835
dlatent Vx*0.5,305830,21.90842394,23.4927075,23.35295678
dlatent Vx*0.6,292138,20.04873563,23.51595402,23.56744828
dlatent Vx*0.7,278981,18.30682367,23.72367532,23.9131358
dlatent Vx*0.8,263666,16.8181632,24.08047507,24.38855329
dlatent Vx*0.9,247229,15.55622271,24.35578603,25.05709607
dlatent Vx*1.0,235546,14.82936645,24.90444981,25.49028401
,,,,
NOISE¢ô,V,X,Y,Z
dlatent Vx*0.0,389913,27.03638879,26.32431685,25.47706676
dlatent Vx*0.1,373892,26.73630334,26.26946367,25.22520185
dlatent Vx*0.2,360189,26.02276313,26.05101044,24.88415596
dlatent Vx*0.3,347004,24.79210855,25.6161884,24.47356519
dlatent Vx*0.4,333156,23.13915438,25.04924672,24.14547222
dlatent Vx*0.5,314626,21.15966747,24.65623929,24.05356531
dlatent Vx*0.6,293917,19.06714496,24.26995953,24.07707873
dlatent Vx*0.7,276682,17.24313496,24.10036158,24.10387961
dlatent Vx*0.8,261894,15.83300751,24.39571972,24.25794835
dlatent Vx*0.9,250521,14.86337679,24.85508027,24.56631828
dlatent Vx*1.0,239344,14.15877124,25.61764375,25.24631484
,,,,
NOISE¢õ,V,X,Y,Z
dlatent Vx*0.0,396686,26.60810351,25.30949949,25.81273408
dlatent Vx*0.25,363015,25.07871785,24.74289974,25.11628774
dlatent Vx*0.5,329881,21.23935473,24.47838192,24.578038
dlatent Vx*0.75,288435,16.78711432,24.9899653,25.28725499
dlatent Vx*1.0,246258,14.32348401,26.41742007,26.39669239
