NOISE¢ñ,V,X,Y,Z
dlatent Zy*0.0,396400,27.57225749,25.51389173,24.89603386
dlatent Zy*0.1,381662,26.51957447,25.39446809,24.36049645
dlatent Zy*0.2,366129,25.63843937,24.71078105,23.92758442
dlatent Zy*0.3,350182,24.77366065,23.42504246,23.30816736
dlatent Zy*0.4,331432,24.1488723,21.87295148,22.76220996
dlatent Zy*0.5,310608,23.74371599,20.39526648,22.40606375
dlatent Zy*0.6,289774,23.4965126,18.92504417,22.13642704
dlatent Zy*0.7,271436,23.44250871,17.46142359,21.96336486
dlatent Zy*0.8,255893,23.79147769,16.37548782,21.8284991
dlatent Zy*0.9,241825,24.19696801,15.28436072,21.69345669
dlatent Zy*1.0,230546,24.59042056,14.57920561,21.41542056
,,,,
NOISE¢ò,V,X,Y,Z
dlatent Zy*0.0,387157,27.18614749,25.52342601,25.02507178
dlatent Zy*0.1,373376,26.20696677,25.2821613,24.52141662
dlatent Zy*0.2,358874,25.29226925,24.4841372,23.79132278
dlatent Zy*0.3,344810,24.44706898,23.25880876,23.19634309
dlatent Zy*0.4,328278,23.66776805,21.77977862,22.57756484
dlatent Zy*0.5,309077,23.1506489,20.37855139,21.89801824
dlatent Zy*0.6,291761,22.89064962,19.21527199,21.33046057
dlatent Zy*0.7,275787,22.96815784,18.19837859,21.01435827
dlatent Zy*0.8,261452,23.17925114,17.16714936,20.83202317
dlatent Zy*0.9,250043,23.45313343,16.27375688,20.74134398
dlatent Zy*1.0,238804,23.77356778,15.39296653,20.6802042
,,,,
NOISE¢ó,V,X,Y,Z
dlatent Zy*0.0,377455,27.72727273,24.77358626,24.16743021
dlatent Zy*0.1,362314,26.50568607,24.53007631,23.52626066
dlatent Zy*0.2,345177,25.45564169,23.64654295,22.91981834
dlatent Zy*0.3,328643,24.59212806,22.37602112,22.34722337
dlatent Zy*0.4,309205,23.92384945,21.07361802,21.78918872
dlatent Zy*0.5,286877,23.46743115,19.61312153,21.2091362
dlatent Zy*0.6,266025,23.21374898,18.07483753,20.68937855
dlatent Zy*0.7,247547,23.39289992,16.72536208,20.27104432
dlatent Zy*0.8,231907,23.87521886,15.36617252,20.10738882
dlatent Zy*0.9,219195,24.43897638,14.48191437,20.10211614
dlatent Zy*1.0,208682,24.81014455,13.61293237,20.06078988
,,,,
NOISE¢ô,V,X,Y,Z
dlatent Zy*0.0,389913,27.03638879,26.32431685,25.47706676
dlatent Zy*0.1,372298,25.81402901,26.23540449,24.75665729
dlatent Zy*0.2,355470,24.65367373,25.40673201,24.00220348
dlatent Zy*0.3,337401,23.85258005,24.04020544,23.21884279
dlatent Zy*0.4,317826,23.20069734,22.55276809,22.53295348
dlatent Zy*0.5,298894,22.75375023,21.07256461,21.9459606
dlatent Zy*0.6,279948,22.5316932,19.60935842,21.43945972
dlatent Zy*0.7,263084,22.19629057,18.25965997,21.09232354
dlatent Zy*0.8,247690,22.07728363,16.95705254,20.87671681
dlatent Zy*0.9,233523,22.27087906,15.63047245,20.74702553
dlatent Zy*1.0,221013,22.64472564,14.62282516,20.54483514
,,,,
NOISE¢õ,V,X,Y,Z
dlatent Zy*0.0,396686,26.60810351,25.30949949,25.81273408
dlatent Zy*0.25,353747,23.57572511,23.42787174,24.15826127
dlatent Zy*0.5,299158,22.19824625,19.9802025,22.58524679
dlatent Zy*0.75,254268,22.4447151,17.25090023,21.38371108
dlatent Zy*1.0,216792,23.57231379,14.69822779,20.58619408
