NOISE¢ñ,V,X,Y,Z
dlatent Zz*0.0,396400,27.57225749,25.51389173,24.89603386
dlatent Zz*0.1,379058,27.44954588,25.83222484,24.65701209
dlatent Zz*0.2,361628,27.46474023,26.05157958,24.17974248
dlatent Zz*0.3,343713,27.55160731,26.32169871,23.47557517
dlatent Zz*0.4,326760,27.48727936,26.4882738,22.90445015
dlatent Zz*0.5,309793,27.4147128,26.69781225,22.21868735
dlatent Zz*0.6,294754,27.30548948,26.87291857,21.5115279
dlatent Zz*0.7,281054,27.15670638,27.0009608,20.93456956
dlatent Zz*0.8,267123,27.06931496,27.06353871,20.24989866
dlatent Zz*0.9,254979,27.16775484,27.15817186,19.73409857
dlatent Zz*1.0,243290,27.16550811,27.09147082,19.19276178
,,,,
NOISE¢ò,V,X,Y,Z
dlatent Zz*0.0,387157,27.18614749,25.52342601,25.02507178
dlatent Zz*0.1,371899,27.01179812,25.76003204,24.67365815
dlatent Zz*0.2,354275,26.9634249,25.98584436,24.08554595
dlatent Zz*0.3,334836,26.87875597,26.3438892,23.10269701
dlatent Zz*0.4,316671,26.65079365,26.62135177,22.16265574
dlatent Zz*0.5,299874,26.50885916,26.80130175,21.24127644
dlatent Zz*0.6,282910,26.3186645,26.97311777,20.29618291
dlatent Zz*0.7,267765,26.30980352,27.04172574,19.42697995
dlatent Zz*0.8,255405,26.27622081,27.03832272,18.89225053
dlatent Zz*0.9,244405,26.47004863,27.11825818,18.47225906
dlatent Zz*1.0,234564,26.47764625,26.99896564,18.15423515
,,,,
NOISE¢ó,V,X,Y,Z
dlatent Zz*0.0,377455,27.72727273,24.77358626,24.16743021
dlatent Zz*0.1,361939,27.536746,24.86768448,23.92815447
dlatent Zz*0.2,343860,27.27696908,25.06625226,23.45015343
dlatent Zz*0.3,324034,27.09797551,25.12955095,22.68049654
dlatent Zz*0.4,302783,26.93464518,25.23835812,21.81568872
dlatent Zz*0.5,283578,26.78956886,25.24545541,20.91224898
dlatent Zz*0.6,266220,26.57737914,25.15506233,20.14573832
dlatent Zz*0.7,251880,26.44183805,24.98296915,19.48928877
dlatent Zz*0.8,240026,26.48583902,25.05082279,18.91212359
dlatent Zz*0.9,229002,26.3948724,25.02388199,18.46944509
dlatent Zz*1.0,218486,26.47760098,25.02435741,18.20758874
,,,,
NOISE¢ô,V,X,Y,Z
dlatent Zz*0.0,389913,27.03638879,26.32431685,25.47706676
dlatent Zz*0.1,368742,26.81544781,26.53517201,25.19100712
dlatent Zz*0.2,349589,26.56011436,26.72314944,24.58669448
dlatent Zz*0.3,330614,26.31746939,26.9397551,23.73787755
dlatent Zz*0.4,313044,26.1012877,27.12894305,22.89326765
dlatent Zz*0.5,297140,25.97234352,27.15602256,22.11735808
dlatent Zz*0.6,282568,25.97119695,27.27257988,21.30233667
dlatent Zz*0.7,268577,26.04912773,27.27782234,20.54050531
dlatent Zz*0.8,255153,26.15815085,27.22194012,19.87347932
dlatent Zz*0.9,250600,26.41438063,27.28729104,19.44942135
dlatent Zz*1.0,228958,26.33657337,27.09884061,18.76273568
,,,,
NOISE¢õ,V,X,Y,Z
dlatent Zz*0.0,396686,26.60810351,25.30949949,25.81273408
dlatent Zz*0.25,358376,25.73925903,25.55059153,24.13737547
dlatent Zz*0.5,315208,25.26453462,25.4719475,21.36731676
dlatent Zz*0.75,270693,25.04988412,25.89018872,19.65003863
dlatent Zz*1.0,235852,26.32282502,26.09401271,18.12949658
