,V,X,Y,Z
1,265253,22.63842213,25.61127049,14.74631148
2,296701,25.76447524,26.08607641,27.97136865
3,355208,22.4679031,25.54511734,28.71483724
4,337735,24.10851047,25.36581482,24.93328557
5,272134,25.81712139,25.13117833,26.76858442
6,365437,25.0871719,26.02003697,27.65700555
7,302821,27.53132787,26.69544322,17.81995372
8,243692,27.78562715,26.22047244,13.4692248
9,350346,23.35078131,25.13201447,27.2785005
10,288364,22.69863398,21.51422156,23.34543413
11,293472,22.61109068,21.3762185,22.47802097
12,203430,27.96217832,24.51481674,31.92266701
13,246947,21.45517317,18.85291539,22.95473477
14,272456,25.32013429,26.37276587,29.5661104
15,262730,24.67246852,21.20630695,24.51889014
16,253899,30.76741716,24.42650807,27.86629142
17,395362,25.88820386,25.84580079,27.40656254
18,253922,21.16531397,20.66445963,22.78022213
19,213272,30.53861763,28.150539,13.52098922
20,344384,23.91105864,25.88547816,26.61133412
21,204047,15.34646919,21.51705898,22.86061888
22,255072,21.52084438,26.52148085,14.06438952
23,333606,25.67374909,25.24320817,23.06487714
24,135024,12.892499,20.49699158,15.17689531
25,178548,18.70672334,23.15108192,30.5305255
26,340635,24.57342435,26.46412129,29.63327512
27,305354,28.44497608,25.86718058,20.09179514
28,221291,20.1134299,26.14547017,13.78774859
29,362061,26.94988747,24.85551388,26.32010503
30,265711,21.73828641,23.54365281,17.50625064
31,297297,23.73306196,24.78218001,25.22098598
32,293377,24.73497419,24.71875,22.94634956
33,336123,25.68635668,27.23716657,27.91127408
34,228827,26.8643746,21.4541236,32.97173592
35,316293,28.41833077,26.20054617,26.51126472
36,329738,24.35172867,25.03720128,25.13435165
37,258725,25.502602,25.60813905,22.23293089
38,281579,24.37440758,25.71883161,17.72424799
39,323269,25.53421799,26.30746119,23.54097813
40,297052,23.59925536,25.36305848,27.64120959
41,320645,24.14306152,26.75544896,30.53959438
42,220790,22.47084655,21.70029275,24.41510124
43,293646,24.94134951,24.59441074,22.32910461
44,407584,23.66072853,25.70134273,28.58694496
45,226084,24.05448489,23.84867951,23.64941708
46,253555,23.83765681,23.51849883,21.49404635
47,202310,17.38160522,22.59536803,14.43790763
48,210572,17.03056266,22.78081841,20.31675192
49,431373,24.75670751,25.18693057,26.41174992
50,343259,24.61705475,25.00471995,22.90984896
51,375786,25.22140805,23.87262931,24.93304598
52,274074,22.89705009,25.15274203,15.52108493
53,293509,27.47960033,26.66444629,14.95846054
54,323540,23.74906117,25.14637403,26.25302512
55,326653,23.78345318,25.7679147,28.09099926
56,268561,27.99436279,26.20978458,28.91030803
57,326676,24.21279566,22.4446452,24.40300591
58,298126,24.11440946,25.975097,16.8822521
59,188582,25.9107604,23.12238164,24.52754663
60,304699,27.52416423,24.64112796,25.96541633
61,294543,25.3271792,25.96178929,21.03949665
62,276507,23.51945392,26.62886397,15.08200878
63,216230,27.0027476,25.26252029,13.50555764
64,366080,24.20222895,25.23440844,25.98494354
65,279444,30.05734144,26.80075297,16.81407472
66,294814,22.4495455,25.91515931,20.0707924
67,266948,23.71446053,21.92565776,23.38547828
68,293950,25.81060745,22.44237475,24.27390347
69,300347,23.40137283,26.32505419,29.2847724
70,235394,28.44387052,27.51101928,12.73898072
71,327278,23.11048905,25.81903507,27.14424502
72,185405,13.84711524,22.31477983,17.15361139
73,362118,25.36379928,28.52202808,30.33348268
74,324279,21.76408509,25.74314442,29.06340369
75,229045,24.25440244,25.47499413,30.27811693
76,283398,29.0177706,28.44112896,22.43979854
77,396686,26.60810351,25.30949949,25.81273408
78,296044,23.800931,25.67670683,28.30348667
79,303543,25.73421897,25.8653709,22.13498573
80,287633,27.39292435,25.23588634,18.66146029
81,250856,22.27965554,26.92529602,14.36200215
82,257227,21.7772298,24.86820567,20.03147954
83,263633,22.39658542,25.37982104,19.65864445
84,241117,36.10797118,27.55910831,15.65570817
85,318467,24.14107007,24.87498943,19.64390161
86,126511,18.2542091,22.01454999,19.43649969
87,321059,25.05418844,25.68043148,16.81189954
88,349740,24.32095142,23.14950961,24.2615646
89,295354,26.85294658,27.48173306,29.94235359
