,volume,surface,mean breadth,euler
1,1342480,389879.747,101.713,-1561
2,1306134,307221.638,1833.882,-264.5
3,1308435,336839.165,1396.035,-156
4,1347551,304993.801,1639.156,-604
5,1403576,321068.445,1202.434,-899
6,1393333,314516.839,1167.111,-807
7,1531556,354473.669,372.598,-884
8,1379521,314022.448,1151.599,-383
9,1690053,379909.404,-3183.32,-1904.5
10,1300081,305496.995,1705.991,-347.5
11,1495535,326196.563,368.729,-1060.5
12,2019492,210913.242,-9008.677,1163
13,1479650,368470.276,-1203.189,-1134
14,1650183,355706.965,-2070.295,-1169
15,1443842,302846.919,1476.01,-579.5
16,1404716,300272.814,1543.992,-752.5
17,1309317,308550.346,1705.272,-492
18,1499895,410694.44,-1242.275,-1964.5
19,1359204,304640.498,1664.89,-308
20,1412210,414979.33,59.789,-1953.5
21,1305449,308927.912,1649.586,-157.5
22,1384707,313259.655,1655.628,-785.5
23,1639595,357401.99,-2808.94,-1772
24,1821137,339474.457,-5862.783,-2281.5
25,1734131,313183.237,-3237.838,-1525.5
26,1706421,408377.469,-6027.216,-2256
27,1385532,348589.456,483.9,-780
28,1722003,354608.144,-3712.248,-1409
29,1495178,366623.413,-1137.169,-1306
30,2097093,90817.271,161.23,6
31,1466106,313415.353,345.271,-1022
32,1325405,311195.564,1591.502,-707
33,1466172,363662.494,-1072.137,-1119.5
34,1296914,314610.971,1278.511,-550.5
35,1403277,316155.042,1519.567,-630
36,1933650,238242.668,-4314.106,-1070
37,1731098,319616.097,-3786.53,-917
38,2097139,90712.928,172.619,2
39,1631460,387564.555,-2780.32,-2197.5
40,1213922,317715.531,2761.166,-253
41,1379537,331918.343,941.749,-639
42,1863837,299170.645,-6679.094,-1184
43,2097146,90696.817,174.472,2
44,1226360,304007.513,2064.074,-213.5
45,1500334,409746.495,-1415.095,-1693
46,1489332,355486.411,-984.168,-1039
47,1350980,375218.876,177.401,-1414.5
48,1805948,353942.623,-5298.37,-2503
49,1284426,298955.999,2321.464,-301
50,2063747,151777.372,-5895.881,1466
