,Volume,Surface,Mean Breadth,Euler Characteristic
1,566500,114300.745,416.672,-42
2,581896,115380.588,270.497,27
3,586731,117829.247,596.373,-72.5
4,567492,119022.731,392.119,-74.5
5,564619,115725.312,614.516,-45
6,544221,110964.108,672.033,71
7,564245,113988.59,536.062,28
8,569744,112458.114,370.293,61.5
9,558164,118154.263,670.042,-1
10,556095,120608.917,726.557,-139.5
11,562724,112017.513,223.122,59.5
12,564087,117708.568,386.158,68.5
13,542161,117181.354,695.453,6
14,567080,115816.316,347.719,-50
15,553178,114857.98,622.041,-168
16,562542,114497.583,720.44,2.5
17,576503,119355.087,367.634,-4.5
18,556838,120686.102,538.428,-70.5
19,569534,118153.803,285.231,-1.5
20,543666,109827.002,377.384,50.5
21,565075,112892.319,264.967,-115
22,536872,109830.297,707.894,-64.5
23,554567,109915.642,582.755,-99
24,562342,119568.148,342.405,-84.5
25,557950,108343.754,641.221,-40.5
26,574039,117843.139,198.975,87
27,562770,109774.652,193.051,8.5
28,563957,115990.748,414.721,33
29,560204,113952.551,800.876,-23.5
30,562787,118114.456,497.724,32
31,561461,117449.094,612.221,74.5
32,558419,112436.37,343.322,18
33,560522,119924.689,741.526,-100.5
34,549903,111966.699,455.174,94
35,558105,114250.335,483.072,32.5
36,554287,115601.256,344.762,-11
37,569658,112324.146,511.5,-32
38,555442,118160.55,630.149,-100.5
39,562370,115697.466,489.63,-16.5
40,573543,120015.863,616.273,-64.5
41,554027,111141.829,634.43,17.5
42,547182,114020.139,556.231,114
43,558139,104996.203,340.518,24
44,560407,112911.48,432.407,-50.5
45,549356,115479.221,446.952,37.5
46,560720,116055.191,608.207,15
47,578681,121111.543,391.053,-49
48,570813,118266.519,639.068,-65
49,553999,115712.33,730.917,7.5
50,560307,113751.245,467.175,44
51,571910,112885.396,339.015,-114
52,535124,117840.594,652.655,50
53,574894,121115.906,462.554,29
54,556101,115924.67,522.675,-76
55,572981,117357.419,624.142,-3
56,578696,116333.799,258.089,-119
57,566088,110986.627,541.368,46
58,557993,120057.293,687.019,36.5
59,569375,117773.055,381.215,-105.5
60,563673,111991.77,380.142,-60
61,564643,114549.47,467.401,-37
62,558975,113262.927,444.964,23
63,565227,115139.183,520.522,-9.5
64,576365,121180.519,449.627,-185
