,Volume,Surface,Mean Breadth,Euler Characteristic
1,552921,113038.283,573.11,-66.5
2,532995,110113.771,626.237,-80
3,553635,112897.668,551.998,-62
4,556385,109277.441,643.32,-87.5
5,553135,115484.105,630.227,-49.5
6,568062,114429.064,545.061,-71
7,549047,112772.606,586.22,-84.5
8,559681,111378.489,627.509,-84
9,552000,114141.89,602.702,-68
10,570618,111757.215,521.826,-103
11,569961,115814.047,469.707,-59.5
12,557015,112817.67,542.25,-75.5
13,586259,115810.362,505.801,-107.5
14,554256,111738.324,590.865,-89.5
15,579688,113518.19,411.205,-98.5
16,554594,112894.035,579.058,-145.5
17,555692,107805.164,450.338,-80.5
18,552324,112834.399,613.712,-92
19,549121,112855.788,575.606,-112.5
20,574427,115618.729,555.672,-122.5
21,586409,112571.894,543.35,-78
22,590310,117569.381,498.256,-116.5
23,542451,110459.947,646.319,-120
24,552352,108053.724,571.828,-83
25,564439,114012.725,563.173,-63.5
26,578348,115476.639,542.462,-92
27,576047,114400.824,592.453,-74.5
28,554134,111522.453,560.515,-88
29,547084,111945.096,583.696,-94
30,569557,115087.888,557.485,-50.5
31,549832,113710.422,629.175,-113.5
32,567907,114787.018,538.992,-52.5
33,556510,109449.737,480.003,-95.5
34,573385,114983.862,546.814,-65.5
35,557245,114963.1,497.527,-52
36,555712,113132.005,607.258,-77.5
37,568215,115078.712,591.083,-109
38,566197,114660.561,554.249,-82
39,575359,114112.085,477.092,-107.5
40,575419,114303.582,528.642,-108.5
41,568565,113410.816,472.229,-127
42,560853,112654.818,627.065,-107
43,579300,113955.222,536.045,-57
44,579206,113211.289,470.062,-96
45,598847,118027.732,473.045,-101.5
46,568362,113660.568,577.328,-84
47,555108,110026.988,641.492,-24
48,577892,112845.237,517.271,-108
49,549351,107455.018,590.963,-79
50,569775,115462.037,557.099,-115.5
51,555769,111900.906,598.888,-119
52,568533,112361.82,575.868,-82.5
53,574714,114980.813,526.265,-65.5
54,561662,111157.682,497.337,-91
55,582099,115422.136,455.059,-114
56,534681,108503.569,660.141,-36.5
57,559806,114819.661,586.043,-96
58,571304,112816.861,530.474,-52
59,563833,116007.417,569.55,-85.5
60,568050,110825.204,529.466,-58.5
61,562364,112251.96,522.043,-69
62,566334,112903.669,528.374,-109
63,564199,112715.755,536.159,-80.5
64,541587,114797.662,590.909,-70
