,Volume,Surface,Mean Breadth,Euler Characteristic
1,727337,113259.563,-552.381,-41.5
2,702457,112215.522,-521.865,-7
3,722381,110058.681,-375.623,-56
4,704159,118338.192,-404.032,-80
5,717489,117317.229,-526.047,-80
6,719270,113401.843,-495.618,-69
7,707755,113291.658,-368.937,-56.5
8,709381,116624.933,-454.353,-67
9,722657,117467.666,-561.041,-74
10,720836,111309.946,-509.491,-52
11,718928,116208.167,-567.536,-62.5
12,709304,116261.623,-517.154,-82
13,717505,115220.728,-542.072,-54.5
14,714845,115516.218,-510.369,-67.5
15,727388,111241.336,-496.807,-45.5
16,715027,118262.607,-537.191,-81.5
17,727667,113188.534,-587.906,-49.5
18,715391,116358.391,-488.198,-64
19,708170,117847.68,-459.82,-88
20,689509,116309.549,-306.005,-81.5
21,711018,118361.685,-501.244,-91.5
22,712914,115669.727,-457.899,-76.5
23,709150,116590.838,-396.619,-84
24,705026,115837.104,-285.425,-59
25,718317,114735.075,-525.516,-58.5
26,699937,113643.001,-309.014,-65
27,715200,116887.667,-586.34,-71
28,699060,113136.272,-449.567,-52.5
29,717587,117030.14,-588.576,-41.5
30,719422,113098.046,-434.65,-68.5
31,713368,119595.254,-534.105,-66.5
32,715766,112319.998,-524.331,-40.5
33,693582,119093.571,-364.2,-73
34,696470,116503.042,-271.091,-66.5
35,717751,115230.95,-507.521,-48
36,715770,116366.632,-478.168,-77.5
37,729012,114196.212,-555.922,-62
38,703933,113854.244,-456.816,-73
39,713367,111572.909,-377.814,-63
40,712086,113693.468,-498.835,-36
41,712496,117180.799,-624.986,-46.5
42,723507,109312.011,-439.006,-40
43,719968,115448.966,-522.508,-75
44,711080,114583.366,-462.6,-72
45,707528,115766.829,-392.134,-63.5
46,728990,113420.567,-593.465,-56.5
47,734852,110125.366,-509.192,-55
48,698860,116618.691,-469.73,-52
49,704609,118412.625,-463.593,-82
50,700236,120263.878,-410.325,-85
51,724968,116234.978,-662.367,-69
52,718268,112812.943,-401.438,-66
53,696824,117533.813,-403.073,-60.5
54,728984,112815.723,-480.336,-43.5
55,718125,115799.013,-570.5,-66.5
56,709704,113083.132,-412.431,-64.5
57,716676,110588.733,-352.989,-47.5
58,700730,117281.08,-416.934,-59
59,722848,115329.977,-634.484,-52.5
60,712765,115336.77,-441.247,-60
61,721687,114859.724,-599.184,-75
62,718270,112978.528,-530.511,-32.5
63,718592,115296.171,-549.511,-58
64,722849,111997.064,-489.611,-62.5
