,Volume,Surface,Mean Breadth,Euler Characteristic
1,735324,118873.817,-732.333,-97.5
2,702041,112967.567,-230.578,-70.5
3,708905,112358.145,-363.554,-68.5
4,725460,118335.868,-558.429,-92.5
5,728958,114777.19,-595.664,-78.5
6,723350,116341.937,-346.77,-111
7,731272,114106.572,-576.96,-100
8,715672,113228.026,-351.607,-89
9,699358,111834.406,-124.911,-92
10,695005,112727.695,-151.957,-76.5
11,731967,117185.202,-728.566,-101
12,720795,120725.506,-510.361,-143.5
13,701888,108706.058,-224.189,-62
14,697110,111424.345,-46.951,-86
15,722756,112556.317,-382.474,-79.5
16,715564,112280.566,-312.617,-97
17,702326,116374.519,-370.022,-86.5
18,730442,117533.168,-626.238,-91
19,728029,120232.499,-709.429,-80.5
20,723723,115601.126,-410.429,-99
21,722775,108998.217,-320.428,-80.5
22,728517,115468.517,-503.967,-94.5
23,714029,109461.086,-345.85,-60
24,713939,116723.824,-363.609,-121
25,734498,110737.161,-476.614,-59.5
26,712768,113672.755,-328.669,-81.5
27,698478,111323.167,-186.503,-92
28,714277,110244.247,-339.864,-77
29,716992,109559.616,-302.059,-79.5
30,720192,112717.092,-337.511,-74
31,722841,113147.377,-387.943,-71
32,717288,114569.085,-298.651,-98
33,722133,111971.539,-394.296,-71.5
34,687438,112586.589,-58.996,-84.5
35,731406,118038.362,-676.812,-64
36,711175,112292.198,-341.054,-92
37,697788,107899.368,-16.672,-72.5
38,731157,115433.379,-578.132,-71
39,712729,117381.988,-322.706,-101
40,725217,112816.553,-416.283,-100
41,705011,113939.544,-250.912,-89.5
42,721906,119276.653,-470.189,-69.5
43,718881,111996.725,-337.79,-72
44,730267,121781.813,-703.973,-162
45,724522,114632.422,-596.95,-68
46,705603,113381.618,-248.128,-93
47,726060,111157.365,-425.712,-60
48,730094,118038.1,-614.056,-79.5
49,717849,120408.814,-637.384,-111.5
50,717796,116726.059,-494.231,-66
51,722859,111812.895,-374.976,-102
52,732447,117809.47,-633.548,-103.5
53,705523,116820.513,-268.344,-101
54,709906,116099.819,-275.589,-105.5
55,706221,111565.32,-223.649,-77
56,711754,119622.082,-502.207,-111.5
57,736514,116912.861,-809.39,-71
58,726872,115548.547,-504.517,-95
59,724402,109548.944,-409.446,-61
60,706020,113644.241,-307.683,-80
61,711994,112610.05,-286.206,-83.5
62,722833,109828.964,-380.409,-82.5
63,730534,113800.798,-651.303,-58.5
64,721328,115041.494,-334.546,-75
