,Volume,Surface,Mean Breadth,Euler Characteristic
1,713800,114057.939,-365.315,-72.5
2,683281,113849.687,-274.534,-105
3,739072,108698.489,-444.571,-62.5
4,706771,117929.666,-504.925,-104
5,685736,115954.264,-216.004,-79.5
6,721057,118327.022,-459.912,-92.5
7,724199,110893.697,-419.322,-51
8,712562,119395.877,-534.296,-93.5
9,719600,114491.453,-399.521,-73.5
10,693942,114160.765,-284.941,-56.5
11,664396,128365.714,-375.971,-139
12,700414,117482.198,-513.569,-80
13,697651,115476.906,-269.342,-80.5
14,708012,114726.759,-441.691,-73
15,680377,117764.35,-332.215,-73.5
16,731280,110346.462,-491.494,-78
17,705222,110945.079,-338.253,-64
18,715850,107438.101,-277.509,-39.5
19,712933,117930.512,-495.136,-97.5
20,776281,91784.507,-569.945,-6
21,746520,113051.96,-712.616,-94
22,702311,116284.838,-168.743,-109.5
23,720487,112017.972,-366.375,-56.5
24,677188,122527.583,-176.047,-125
25,736442,113655.264,-634.431,-81
26,695362,121542.2,-207.432,-108.5
27,746666,112375.14,-660.627,-90.5
28,731448,109491.189,-642.916,-43.5
29,693934,114809.149,-173.377,-102
30,724116,108616.337,-303.632,-101
31,694982,120553.378,-411.471,-111.5
32,730233,112172.496,-501.073,-79
33,688913,113278.647,-114.999,-96
34,698544,114599.44,-412.268,-105.5
35,730247,111839.961,-337.562,-107
36,697162,113704.311,-236.721,-112
37,689249,115848.138,-232.872,-109
38,670235,119072.623,-209.593,-79
39,704675,114907.433,-310.321,-104.5
40,710914,112556.654,-301.497,-87
41,704646,111187.955,-356.911,-59.5
42,696601,112484.773,-197.69,-82
43,745004,111270.967,-641.206,-51
44,720125,108618.335,-288.755,-59.5
45,659454,115388.391,-158.67,-68.5
46,677671,115574.795,-155.127,-104
47,714885,118914.464,-592.528,-90.5
48,681249,114746.03,-64.465,-90.5
49,709942,108126.618,-240.584,-49.5
50,762260,105655.956,-708.369,-85
51,705906,118132.852,-334.769,-77.5
52,730226,108224.108,-512.931,-69.5
53,694308,112852.207,-286.704,-80
54,725187,109647.041,-452.878,-50
55,727471,108624.096,-520.108,-22
56,727506,112686.863,-522.124,-77
57,729025,113342.24,-535.097,-83
58,728162,105654.266,-343.665,-52
59,728405,116061.343,-532.635,-95.5
60,657553,118482.576,-179.102,-88.5
61,689552,120100.634,-222.611,-110
62,741921,103858.416,-403.038,-48.5
63,689249,115848.138,-232.872,-109
64,678949,113978.897,-155.78,-88
