Noise1,volume,surface,mean breadth,euler
dlatent a*0.0,1531556,354473.669,372.598,-884
dlatent a*0.25,1632281,378121.817,-2534.566,-1720.5
dlatent a*0.5,1673055,409876.718,-4983.394,-2599
dlatent a*0.75,1695446,414628.5,-5919.892,-2609.5
dlatent a*1.0,1706421,408377.469,-6027.216,-2256
,,,,
Noise2,volume,surface,mean breadth,euler
dlatent a*0.0,1548326,343096.367,363.468,-913
dlatent a*0.25,1624725,373540.055,-2139.826,-1728
dlatent a*0.5,1662662,404309.321,-4053.498,-2401
dlatent a*0.75,1690578,405040.423,-4685.255,-2407.5
dlatent a*1.0,1703967,395812.516,-4785.715,-2253.5
,,,,
Noise3,volume,surface,mean breadth,euler
dlatent a*0.0,1543431,337218.231,547.737,-980
dlatent a*0.25,1642864,359811.569,-1990.724,-1511.5
dlatent a*0.5,1673105,390957.504,-3704.827,-2348
dlatent a*0.75,1685456,391385.79,-4092.278,-2128.5
dlatent a*1.0,1694508,384097.92,-4155.059,-1938.5
