Noise1,volume,surface,mean breadth,euler
dlatent c*0.0,1531556,354473.669,372.598,-884
dlatent c*0.25,1395773,344510.479,1349.334,-686
dlatent c*0.5,1337399,343304.373,1560.212,-369
dlatent c*0.75,1267751,343309.286,2358.223,-155.5
dlatent c*1.0,1230279,341491.319,2447.673,-122.5
,,,,
Noise2,volume,surface,mean breadth,euler
dlatent c*0.0,1548326,343096.367,363.468,-913
dlatent c*0.25,1417374,335729.898,1294.582,-751
dlatent c*0.5,1363855,337879.863,1588.67,-409.5
dlatent c*0.75,1301058,340379.574,2281.946,-150
dlatent c*1.0,1267578,342286.299,2433.991,-117.5
,,,,
Noise3,volume,surface,mean breadth,euler
dlatent c*0.0,1543431,337218.231,547.737,-980
dlatent c*0.25,1409640,328024.064,1374.159,-647
dlatent c*0.5,1353472,330347.091,1614.13,-281.5
dlatent c*0.75,1292325,335905.784,2328.492,-165
dlatent c*1.0,1257588,338490.291,2465.446,-129
